raw_question,correct_answer
What is the capital of the French region of Limousin?,"['LIMOGES', 'Limoges, Haute-Vienne', 'Augustoritum', 'Lemòtges', 'Limoges, France', 'Limoger', 'Limòtges', 'Limôges', 'Limoges']"
"""Who started """"Poor Richard's Almanac"""" in 1732, helped draw up the US Declaration of Independence and the US Constitution and invented the lightning conductor?""","['A Tradesman of Philidelphia', 'Bin Franklin', 'Abigail Afterwit', 'The Busybody', 'Anthony Afterwit', 'Betty Diligent', 'Benjamin Franklin', 'The Benjamin Franklin', 'Franklinian', 'Friend to the Poor', 'Ben Franlkin', 'Bejamin franklin', 'Alice Addertongue', 'Sage of the Constitutional Convention', 'Franklinic', 'Benjamin franklin', 'Those who would give up Essential Liberty', 'Ben Franklin', 'B franklin', 'The Benjamin Franklin Bust', 'B. Franklin', 'Abigail Twitterfield', 'Benjamin (Ben) Franklin', 'Ben franklin', 'Sidi Mehemet Ibrahim', 'B Franklin']"
"Which word can go after Leg, Ball and Bath to make three other words?","['Roomier', 'Room', 'Roomy', 'Chimmer', 'Boxroom', 'Roomiest', 'Rooms', 'Box room', 'Room (architecture)', 'Roominess', 'Box-room']"
Which tourist islands include the lesser known Majorca and Minorca?,"['Baleares Province', 'Govern de les Illes Balears', 'Islas Baleares Comunidad Autonoma, Spain', 'Majorca and Iviza', 'Province of Islas Baleares', 'Baleric Islands', 'Balearen', 'Balearas', 'Baleares (province)', 'Province of Balears', 'Balearics', 'Illes Balears (province)', 'Isla Baleares', 'History of the Balearic Islands', 'Balearic Islands, Spain', 'Islas Baleares Comunidad Autonoma', 'The Balearic Islands', 'Balear', 'Balearic islands', 'Illes Balears Province', 'Illes Balears', 'Islas Baleares Comunidad Autónoma', 'Balearic Island', 'Islas Baleares Province', 'Hispania Baleares', 'Palma de Mallorca (province)', 'Balearic Islands', 'Balearic Isles', 'Insulae Baleares', 'Balears', 'Balearic people', 'The Balearics', 'Islas Baleares', 'Province of Baleares', 'Islas Baleares Comunidad Autónoma, Spain']"
What name is given to the flowers of Willow and Poplar trees?,"['Aments', 'Catkin', 'Catkins', 'Ament (botany)', 'CATKINS', 'Cat kin']"
Which U.S. president introduced a recovery plan popularly known as The New Deal?,"['Franklin D. Roosevelt', 'Franklin D. Rosevelt', 'F.D.R.', 'FDR', 'Franklin roosevelt', 'F D R', 'Frankilin Delano roosevelt', 'Franklin Delano Rosevelt', 'F. D. Roosevelt', 'Franklin D. Roosevelt administration', 'Frank Roosevelt', 'Franklin d roosevelt', 'Franklin Roosevelt Administration', 'Franklin D Roosevelt', 'FD Roosevelt', '32nd President of the United States', 'Franklin Roosevelt', 'Presidency of FDR', 'Franklin D. Roosevelt Administration', 'A Summary of the Life of Franklin Delano Roosevelt', 'Franklin Rosevelt', 'F. Roosevelt Administration', 'Franklin Roosevelt administration', 'Presidency of Franklin D. Roosevelt', 'Fdr', 'President Franklin Delano Roosevelt', 'F.D. Roosevelt', 'Franklin Deleno Roosevelt', 'President Franklin D. Roosevelt', 'Franklin Delano Roosevelt', 'Frankie D', 'Frankin Delano Roosevelt', 'Franklin Delano Roosevelt Administration', 'F. D. Roosevelt Administration', 'Roosevelt, Franklin Delano', 'F. D. R.', 'President Franklin Roosevelt', 'Presidency of Franklin Delano Roosevelt', 'Presidency of Franklin Roosevelt', 'Frankin D Roosevelt']"
What does a barometer measure?,"['Central pressure', 'Sea level pressure', 'Barometric pressure', 'Atmospheric Pressure', 'Air Pressure', 'Mean Sea Level Pressure', 'Atmospheric air pressure', 'Atmospheric pressure', 'Air pressure', 'Sea Level Pressure', 'Sea-level pressure', 'Standard atmospheric pressure', 'Mean sea level pressure', 'Normal pressure']"
What is the leader of a boy cub scout pack called?,"['Akela (disambiguation)', 'Akela']"
"In the crappy celebrity kids names category, what Irish rocker, fomer head of the Boomtown Rats, named his kids Fifi Trixibelle, Peaches Honeyblossom, and Little Pixie?","['Sir Bob Geldof', 'Bob Geldorf', 'Dictionary of Man', 'Robert Frederick Xenon Geldof', 'Little pixie geldof', 'Dictionary of man', 'Robert Geldof', 'Sir Bob', 'Bob Geldof', 'Bob Geldoff']"
"Appearing beside his burro Conchita, what is the name of the fictional face of Colombian coffee since 1959?",['Juan Valdez']
"In the Bible, what city's walls fell after Joshua blew his trumpets?","['Medieval jericho', 'Jericho, Palestine', 'Jericho Area', 'Jericho in the middle ages', 'Jericho, West Bank City', 'Classical jericho', 'Jericho', 'City of palms', 'Jeriho', 'Tel el-Sultan', 'Tell el-Sultan', 'Ancient jericho', 'Jericho, West Bank', 'Tell es-Sultan', 'Jericho (town)']"
The Italian word for scratched drawings is used commonly in English. What is it?,"['Graffitti', 'Grafitti', 'Graffitto', 'Graffitis', 'Graffiti art', 'Microbo (artist)', 'Scratching (street art)', 'Graffiting', 'Art graffiti', 'Graffadi', 'Graffiti Art', 'GraffitiArt', 'Artistic Aerosol', 'Hipster Art', 'Street Art Post-Graffiti', 'Scratchitti', 'Graffiti writer', 'Types of graffiti', 'Graphiti', 'Tree graffiti', 'Gang Graffiti', 'Tag (graffiti)', 'Subway Graffiti', 'Tag Artist', 'Graffity', 'Graffiti artist', 'Types of Graffiti', 'Wall vandalism', 'Graffiti', 'Graffiti poetry', 'Graffiti culture']"
"In Indian cookery, what is gingili otherwise called?","['Till (seed)', 'Black sesame', 'Sezame seed', 'Sesame', 'Sesame snaps', 'Sesame seed', 'Till seeds', 'Sesame seeds', 'Benne', 'Til (sesame)', 'Sesamum orientale', 'Sesame Seeds', 'Sesame Seed', 'Gingelly', 'Sesamum indicum']"
What is the common name for a contusion?,"['Contuse', 'Slap marks', 'Bone bruise', 'Slap mark', 'Contusions', 'Blue and black', 'Contusive', 'Blue-and-black', 'Contusional', 'Contused', 'Contused wound', 'Spontaneous ecchymoses', 'Blue & black', 'Contusing', 'Contuses', 'Bruises', 'Black and blue', 'Bruised', 'Bruise', 'Black-and-blue', 'Contusively', 'Bruising', 'Contusionally', 'Contusion']"
"If all the countries that have Spanish as an official language were listed alphabetically, which country would come first?","['Arxintina', 'Argintina', 'Argentyna', 'آرژانتین', 'República Argentina', 'Land of silver', 'Argentina', 'ארגנטינה', 'Arghantina', 'Republica Argentina', 'Argentine republic', 'Аргентына', 'Nación Argentina', 'Argentinien', 'Nacion Argentina', 'Argie', 'アルゼンチン', 'Airgintín', 'Аржентина', 'Argentína', 'Argentine Republic', 'Argentīna', 'Argentinean', 'Argentiina', 'The Argentine Republic', 'Arxentina', 'Արգենտինա', ""Arc'hantina"", 'ARGENTINA', 'Argies', 'Antonia Merce Y Luque', 'People of Argintina', 'ISO 3166-1:AR', 'Argentinië', 'אַרגענטינע', 'Arjantin', 'अर्जेन्टीना', 'الأرجنتين', 'Argentina Information', 'Republic of Argentina', 'Ariannin', 'Argentina Republic', 'Argentinie', 'Argentinia', 'Airgintin', 'Argjentina']"
Who played Nick Fury in the made for TV movie of the same name?,"['Haselhoff', 'David Michael Hasselhoff', 'Hasselholf', 'David Hasselhoff filmography', 'David Hasselhof', 'The Hasselhoff', 'David Haselhoff', 'HoffSpace', 'David Hasslehoff', 'David Hassellhoff', 'David Hasselhoff', 'Taylor Ann Hasselhoff', 'Taylor ann hasselhoff', 'David Hasselhoff Social Network']"
'Gourmet Night' and 'The Kipper and the Corpse' were the titles of episodes from which TV series ?,"['FAWLTY TOWERS', 'Polly Shearman', 'Polly Sherman (Fawlty Towers)', 'Fawlty Towers Episode 13', 'Fawlty Towers', 'Fawlty towers', 'Flowery Twats', 'List of Fawlty Towers episodes', 'Fawlty Towers (hotel)', 'Fawlty', 'Dr. Abbott', 'Woodburn Grange Country Club', 'Polly Sherman', 'Fawlty Towers episode guide', 'Audrey (Fawlty Towers)', 'Fawlty towers episodes', 'Terry the Chef', 'Faulty Towers', 'Wooburn Grange Country Club']"
"Sir Reginald Dorman Smith, former British Minister of Agriculture, instigated which campaign during WW2 to encourage people to convert land for growing more fruit and vegetables","['Victory garden', 'Dig for victory', 'Digging for Victory', 'Dig for Victory', 'Dig for Victory Campaign', 'War garden', 'Digging for victory']"
Which capital city stands on the shore of the Caspian Sea?,"['Benzite/old version', 'Battle of Cheron', 'Arcadians (Star Trek)', 'Bolian', 'BAKU', 'El-Aurian', 'Angosian', 'Kazon collective', 'List of Star Trek races', 'Betazoids', 'Major planetary nations of Star Trek', 'Changelings (Star Trek)', 'Akritirians', 'Berellians', 'Remans', 'Antedeans', ""Ba'ku"", 'Anticans', 'Tomed', 'Betazoid', 'Arcadian (Star Trek)', 'Reman starships', 'Antedean', 'Bolians', 'List of Star Trek Races', 'Changeling (Star Trek)', 'Kazon-Ogla', ""Jem'Hadar"", 'Birthing chamber (Benzite)', 'List of races in Star Trek', 'Therbian', 'Berellian', 'Akritirian', 'Star Trek races', 'Bolian (Star Trek)', 'First Maje', 'Lady Q', 'Aaamazzarite', 'Q Continuum (Star Trek)', 'Rhinasu Galæ', 'Q2 (Star Trek)', 'Star Trek species', 'The Race of Listeners', 'Bandi (Star Trek)', 'Edosian', 'Bynars', 'O (star trek)', 'Great Link', 'El Aurian', 'Arcturian (Star Trek)', 'Kazon', 'Benzites', 'Benzite', 'Kazon ship classes', 'Hirogen', 'Aenar', 'Jem hadar', 'El-Aurians', 'Tomed Incident', 'Allasomorph', 'Bynar', 'Great Link (Star Trek)', 'Antican (Star Trek)', ""Jem 'Hadar""]"
Where did retired three-time World Heavyweight boxing champion Muhammad Ali light the Olympic flame?,"['Marthasville, GA', 'Atlanta , Georgia', 'Atanta, GA', 'Atlanta ga', 'Atlanta, USA', 'Atlanta, ga', 'Terminus, Georgia', 'Atlanta, Ga', 'Culture of Atlanta, Georgia', 'Atlanta Georgia', 'Atlanta georgia', 'Atlanta,Ga', 'UN/LOCODE:USATL', 'Atlanta, Ga.', 'Georgia state capital', 'Atlanta,GA', 'Atlanta', 'Terminus, GA', 'The Big Peach', 'Atlanta, United States', 'Atlanta (Ga.)', 'Atlanta, GA', 'Hotlanta', 'Atlanta,ga', 'Atlanta GA', 'Atlanta, Georgia (U.S. state)', 'City of Atlanta', 'Atlanta, GA.', 'Population of atlanta', 'Atlanta, Georgia, USA', 'The city in a forest', 'City in a forest', 'Atlanta (GA)', 'Atlanta, Georgia', 'City of Atlanta, GA.', 'The ATL', 'Population of Atlanta', 'The A-T-L', 'Culture of Atlanta']"
"Existing from 1921-2010, Mexicana, was Mexico's (and one of the world's) oldest continuous what?","['Commercial airline', 'Airline industry', 'Airline companies', 'Scheduled air carriers', 'Commercial air transport', 'Passenger aeroplane', 'Airline', 'Airlines', 'The Airline', 'Air carrier', 'Scheduled air transport', 'Air carriers', 'Airline flights', 'Scheduled airline', 'Airline company', 'Commercial flights']"
Vigo international Airport is in which country,"['Islands of Spain', 'España', 'Reino de España', 'Name of Spain', 'Espagna', 'Espańa', 'Reino de Espana', 'Espana', 'Kingdom of the Spains', 'The Spanish Society', 'Espainia', 'Mountains of Spain', ""Regne d'Espanya"", 'The kingdom of Spain', 'SPAIN', ""Regne d'Espanha"", 'Espanya', 'Espainiako Erresuma', 'Etymology of Spain', 'Spane', 'ISO 3166-1:ES', 'Spain', 'Spanish Kingdom', 'Kingdom of Spain', 'El Reino de España', 'El Reino de Espana']"
Which US city is known as the 'Crescent City'?,"['Big EZ', 'New Orléans, LA', 'Nouvelle-Orleans', 'No Orleans', 'City of New Orleans, Louisiana', 'New Orleans, Louisiana, U.S.A.', 'City of new orleans', 'Orleans Parrish', ""N'awlins"", 'New Orlean', 'New Orleans, La.', 'Orleans Parish/New Orleans, Louisiana', 'Orléans, Louisiana', 'Orleans Parish, LA', 'New Orleans', 'New Orleans County', 'The Big EZ', 'Nawlins', 'Little Woods, New Orleans', 'Orleans, Louisiana', 'New Orléans', 'Orleans Parish/City of New Orleans, Louisiana', 'North Shore Broadcasting', 'Entercom (New Orleans)', 'New Orleans (La.)', 'NOLA', 'Nouvelle-Orléans', 'New Orleans, USA', 'New Orleans, Lousiana', 'UN/LOCODE:USMSY', 'No Orleans, Louisiana', 'New Orleans, Louisiana, USA', 'The City of New Orleans', 'Orleans Parish, Louisiana', 'New Orleans (LA)', 'Cresent City', 'Orleans Parish', 'City of New Orleans', 'The Big Easy', 'The Crescent City', 'Big Easy', 'Parish of Orleans', 'La Nouvelle-Orleans', 'Nova Orleans', 'Choppa city', 'La Nouvelle-Orléans', 'New Orlians', 'The City That Care Forgot', 'New Orleans, Louisiana', 'Norleans', 'New orleans', 'New Orleans, LA', 'New Orleans , LA', 'New Orléans, Louisiana']"
Tim Curry played Dr Frank-N-Furter in which 1978 musical film?,"['THE ROCKY HORROR PICTURE SHOW', 'RHPC', 'Frank-N-Furter', 'The rocky horror picture show', 'Brad Majors', 'Rocky Horror Picture Show/Riff Raff', 'The Denton Affair', 'Revenge of the Old Queen', 'Frank N. Furter', 'The Rocky Horror Picture Show', 'TRHPS', 'RHPS', 'Dr. Frank-N-Furter', 'Dr. Everett Scott', 'Rocky horror picture show', 'Rocky Horror Picture Show', 'Doctor Everett Scott', 'Janet Weiss (Rocky Horror)']"
Who was the president for all but the last 6 months of the Korean war?,"['Presidency of Harry S. Truman', 'Hary truman', 'Harry Shipp Truman', ""Harry Truman's"", 'Harry S. Truman', 'Harry S.Truman', 'Harry S Truman', 'H. S. Truman', 'President Harry Truman', 'Truman administration', 'Presidency of Harry Truman', 'Mr. Citizen', 'HST (president)', 'H.S. Truman', 'Mary Jane Truman', 'Harry Shippe Truman', 'S truman', 'Harry Truman', 'President Truman', '33rd President of the United States', 'Truman Administration', 'Harry Solomon Truman', 'Harold Truman', 'Harry truman', 'H. Truman']"
What organ is responsible for filtering toxins such as alcohol?,"['Impressio duodenalis', ""Glisson's sheath"", 'Livers', 'Fetal liver', 'Impressio gastrica hepatis', 'Impressio renalis hepatis', 'Diaphragmatic surface of liver', 'Human livers', 'Suprarenal impression', 'Impressio colica hepatis', 'Gastric impression on the liver', 'Duodenal impression', 'Calves liver', 'The Liver', 'Colic impression on liver', 'Capsula fibrosa perivascularis', 'Renal impression on liver', 'Gastric impression', 'Liver', 'Impressio suprarenalis hepatis', 'Liver metabolism', 'Visceral surface of liver', 'Liver sauce', 'Glissons capsule', 'Duodenal impression on liver', 'Impressio gastrica', 'Impressio renalis', 'Couinaud segment', 'Liver capsule', 'Impressio duodenalis hepatis', 'Peritoneal attachments of liver', 'Iecur', 'Human liver', 'Hepatic metabolism', 'Hepatic', 'Hepatic production', 'Gastric impression on liver', 'Colic impression', 'Fibrous capsule of glisson', 'Suprarenal impression on liver', 'Lobus hepatis', 'Impressio colica', 'Hepar', 'Glisson’s capsule', 'Human Liver', ""Glisson's capsule"", 'Jecur', 'Liver lobe', 'Liver Tissue Blood Flow', 'Fibrous capsule of liver', 'Renal impression', 'Glissons sheath', 'Impressio suprarenalis', 'Fibrous capsule of Glisson']"
Which painter (1577-1640) was knighted by both Britain and Spain?,"['Pieter Pauwel Rubens', 'Peter Paul Reubens', '(Sir Peter Paul) Rubens', 'Petrus Paulus Rubens', 'Peter Paul Rubens', 'Peter Rubens', 'Pieter Paul Rubens', 'Peter Paul Ruebens', 'Rubens', 'Pieter-Paul Rubens', 'Sir Peter Paul Rubens', 'Rubenesque', 'Sir Peter Rubens']"
What is the longest line of latitude on the Earth?,"['Ecuatorial', 'Equator', 'Equatorial country', 'Latitude 0 degrees S', 'Ecuator', 'The Equator', 'Latitude 0 degrees N', 'List of countries on the equator', 'Circumference of the earth', 'Circumference of Earth', 'Equitorial', 'Circumference of earth', 'Equator (geography)', 'The equator']"
"What French term traditionally seeks to convey a product/service's extra comfort/elegance, ironically from the Latin origin 'excess'?","['De Luxe', 'De luxe', 'De-Luxe']"
What is the chief ingredient of a ‘dhansak’ curry?,"['Lentils', 'Lens esculenta', 'Red lentils', 'Legume dal', 'Lentiles', 'Black lentil', 'Masoor dal', 'Continental lentil', 'Masur dhal', 'Masur dal', 'Masoor', 'Masoor daal', 'Lentil', 'Masur (lentil)', 'Masoor dhal', 'Lens culinaris', 'Red lentil']"
"The Great Pyramid of Cholula in Puebla, Mexico is the world's largest monument and largest Pre-Columbian pyramid by volume. If told that it was built from 3rd century BCE through the 9th century CE, can you name the 'feathered-serpent' deity to whom it was dedicated?","['Quetzalcoatl, the Aztec god']"
What is the indigenous religion of Japan?,"['Sintoo', 'The Way of the Gods', 'Shintou', 'Shintô', 'Shintu', 'Shintoo', 'Shin-Tō', 'Shinto', 'Kami no michi', 'Sect Shintoists', 'Japanese Shinto', 'Kami-no-michi', 'Shin-To', 'Shintō', 'Shinto faith', 'History of Shintoism', 'Sintô', 'Shintoists', 'Way of the Gods', 'Japanese folk religion', 'Sinto', 'Japenese Shinto', 'Shinto religion', 'Shintoism', 'Shin Tao', 'Shintoist', 'Kannagara no michi', 'Japanese Shintoism', 'Jinja Shinto']"
'Roaring' refers to what pluralised number in describing a 1900s decade of western world prosperity?,"['Twenty', '20', 'twenty']"
Often referred to as 'Beanpole' what nationality was swimmer Michael Gross?,"['German', 'Germans (disambiguation)', 'German (disambiguation)']"
Which Chancellor of the Exchequer introduced old age pensions and national insurance?,"['David, 1st Earl Lloyd-George of Dwyfor', 'David Lloyd George, 1st Earl Lloyd-George of Dwyfor', 'Lloyd george', 'D Lloyd-George', 'Lloyd-George', 'Lloyd George', 'Lloyd George, David', 'David Lloyd George, 1st Earl Lloyd George of Dwyfor', 'Lloyd George, David, 1st Earl of Dwyfor', 'David Lloyd George, 1st Earl of Dwyfor', 'David Lloyd-George', 'David Lloyd George, 1st Earl Lloyd-George of Dwyfor OM, PC', 'David Lloyd George']"
In which European country would you find Tuscany?,"['Environment of Italy', 'Italiën', 'Subdivisions of Italy', 'Republic of Italy', 'ItalY', 'ISO 3166-1:IT', 'Etymology of Italy', 'Itali', 'Pollution in Italy', 'Administrative divisions of Italy', 'Austrian Empire (Italy)', 'Italija', 'Italie', 'Italia', 'Italian Republic', 'Second Italian Republic', 'Italy', 'Italio', 'Repubblica Italiana', 'Itàlia', 'The Italian republic']"
"In December 2010, Continental Airlines was found criminally responsible for which airline disaster by a Parisian court and was fined 200,000 and ordered to pay Air France 1 million, while Continental mechanic John Taylor was given a 15-month suspended sentence?","['Concorde, Flight 4590, 25 July 2000']"
"""The quotation """"I love the smell of napalm in the morning"""" occurs in which 1979 US film?""","[""Charlie don't surf!"", ""Charlie doesn't surf"", 'Tyrone %22Mr. Clean%22 Miller', 'Benjamin L. Willard', 'APOCALYPSE NOW (1979)', 'American Photojournalist', 'Apocalypse Now', 'Chief Phillips', 'Col. Walter E. Kurtz', 'Apocolypse Now', 'Capt. Benjamin L. Willard', 'Lieutenant Kilgore', 'Lt. Colonel William Kilgore', 'Napalm in the morning', 'Apocalypse now', 'Jay %22Chef%22 Hicks', 'I love the smell of napalm in the morning', 'Apocalypse Now!']"
Which Rogers and Hammerstein musical first performed on Broadway in 1958 tells of the conflicts of a Chinese Immigrant family in San Francisco?,"['The Flower Drum Song', 'THE FLOWER DRUM SONG']"
Who played the Penguin in the 1992 film Batman Returns?,"['Danny deVito', 'Danny De Vito', 'Jersey Films', 'Daniel Michael DeVito', 'Danny DeVito', 'Danny Devito', 'Danny de Vito', 'Fred Scialla']"
What tree is mentioned in the Christmas song 'Twelve Days of Christmas'?,"['Peartree', 'Pear Tree', 'Pear Tree, Derby']"
Which English football team won the 2011 FA Cup?,"['Ardwick F.C.', 'Manchester City F.C.', 'Manchester City F. C.', 'Manchester city fc', 'Manchester City', 'Mancity', 'Manchester City F C', 'Manchester City Football Club', 'Manchester City F.C', 'Ardwick A.F.C.', 'Manchester C', 'Ardwick AFC', 'Manchester City FC', 'Man city', 'Manchester city', 'Ardwick Association Football Club', 'Man. City', 'Man c', 'John Wardle (businessman)', 'Man City FC', 'Man City', 'Manchester City Citizens', 'The Blues (Manchester)', 'Man C']"
The museum at Avebury Stone Circle was established by an archaeologist who was the heir to which marmalade company (the original commercial brand of marmalade)?,"['Keiller (disambiguation)', 'Keiller']"
"According to the New Testament, who was the High Priest of the Jews to whom Jesus was taken when he was first arrested?","['Joseph ben Caiaphas', 'Kajafas', 'Caiphas', 'Joseph Caiaphas', 'Caiaphas', 'Kaiphas', 'Caifa', 'Joseph Caiphas', 'Kajaphas']"
"How many circles, on which players have to put their hand or foot, are on the mat in a game of ‘Twister’?","['24', 'twenty-four']"
Which African country replaced most of its senior police officers after they were blamed for post-election violence?,"['Kenyan', 'Prehistory of Kenya', 'Kenya-Africa', 'ISO 3166-1:KE', 'Jamhuri ya Kenya', 'Kenya', 'Republic of Kenya', 'Kenya (disambiguation)', 'Etymology of Kenya']"
From what country does the word 'chutney' derive?,"['ഭാരത മഹാരാജ്യം', 'هندستانڀارت،', 'भारतीय गणराज्याच्या', 'Bhārtiya Prajāsattāk', 'Indian Republic', 'ভারতরাষ্টৃ', 'Indian republic', 'ಭಾರತ ಗಣರಾಜ್ಯ', 'Union of India', 'இந்தியக் குடியரசு', 'भारतीय प्रजासत्ताक', 'India (country)', 'ISO 3166-1:IN', 'Indea', 'Etymology of India', 'ভারত গণরাজ্য', 'Republic Of India', 'INDIA', 'ભારતીય ગણતંત્ર', 'ভারত', 'Republic of India', 'Les Indes', 'Bhārat Gaṇarājya', 'جمہوٗرِیت بًارت', 'भारतमहाराज्यम्', 'Indya', 'Bharat Ganrajya', 'جمہوریہ بھارت', 'இந்திய', 'ଭାରତ ଗଣରାଜ୍ଯ', 'भारत गणराज्य', 'Republic of india', 'जुम्हूरियत भारत', 'Hindio', 'The Republic of India', 'భారత గణతంత్ర రాజ్యము', ""India's"", 'Hindistan', 'ਭਾਰਤ ਗਣਤੰਤਰ', 'Bhart', 'India', 'భారత రిపబ్లిక్', 'India.', 'ভাৰত গণৰাজ্য', 'Indian State', 'ISO 3166-1 alpha-3/IND', 'ভারতীয় প্রজাতন্ত্র']"
In Germany a gessellschaft is a?,"['Campany', 'Compagnie', '㏇', 'Company (law)', 'Companies', 'And company', 'Cmpany', 'Comapnies', 'Incorporated company', 'Compnay', 'Registered Companies', 'Company (legal)', 'Your company', 'Comapny', 'And sons', 'Compagnies', 'And co.', 'Company', 'Registered company']"
A dosimeter measures human absorption of?,"['Ionizing radiation units', 'Radiation (ionizing radiation)', 'Ionizing Radiation', 'Radiotoxic', 'Ionising radiation', 'Atomic radiation', 'Ionized radiation', 'Radiation units', 'Ionizing radiation', 'Radiotoxicity']"
True or false: Both male and female kangaroos have pouches?,"['False (disambiguation)', 'Falsehood', 'False']"
"Daisy, Rose and Violet are fictional sisters in which UK tv comedy series?","['Sheridan Bucket', 'Keeping Up Apperances', 'Keeping Up Appearances', 'Keeping up appearences', 'Keeping up apperances', 'Keeping up Appearances', 'Keeping up appearances']"
"Besides Mexico and Canada, what country is geographically closest to the United States?","['Russia (1991-1993)', 'Оросын Холбооны Улс', 'Etymology of Russia', 'The Russian federation', 'Рәсәй', 'ISO 3166-1:RU', 'Russia (1990-1993)', 'Ресей', 'Novaya russia', 'Росси́я', 'Раҫҫей', 'Российская Федерация', 'Poccnr', 'Росія', 'Ородой Холбооной Улас', 'России', 'The Russian Federation', 'Russsia', 'Russian (citizen)', 'Росси́йская Федера́ция', 'Урысей', 'Арассыыйа', 'Rossiyskaya Federatsiya', 'Оьрсийн Федераций', 'Russian-born', 'Аьрасат', 'Russia (Federation)', 'POCCNR', 'Northern Russia', 'Federation of Russia', 'Russia (country)', 'Рочму', 'Ресей Федерациясы', 'Venaja', 'Русия', 'Урыстәыла', 'Resey', 'Россия', 'Wildlife of Russia', 'The Country Russia', 'Уæрæсе', 'Venaejae', 'Russian federation', 'Russie', 'Russia', 'Rossijskaja Federatsija', 'RUSSIA', 'Ryssland', 'Russian Federation', 'Russiya', 'Русија', 'RusSia', 'Орсин Ниицән', 'Russland', 'Рузмастор', 'RussiA']"
"Betty Joan Perske, who died in 2014, was better known as which famous film star, from the 1940s-2000s?","['Bacall', 'Lauren Becal', 'Lauren Bacall', 'Lauren Becall', 'Betty J. Perske', 'Loren Bacall', 'Betty Joan Perske', 'Betty Perske', 'Betty Joan Perski']"
Where in Britain is Bishop Rock lighthouse?,"['Silly Isles', 'Scilly', 'Flag of the Isles of Scilly', 'Scillies', 'Scilly Islands', 'Scillonia', 'Isles of scilly', 'Ynysek Syllan', 'Scilly Isles', 'Nornour', 'Isles of Sicily', 'Isles of Scilly Area of Outstanding Natural Beauty', 'The Scilly Isles', 'Iles of Scilly', 'Isles of Scilly', 'Isles of Scilly Council', 'Scilly isles', 'Governor of the Scilly Isles', 'Council of the Isles of Scilly', 'Isles of Silly', 'Isle of Scilly', 'The Isles of Scilly', 'Lord Proprietor of the Isles of Scilly', 'Isles Of Scilly', 'Scily isles', 'Syllingene', 'Isles of Scilly AONB']"
Who played the title role in “the Black Pirate”?,"['Douglas Fairbanks, Sr', 'Douglas Fairbanks', 'Douglas Elton Thomas Ullman', 'Douglas Ulman', 'Douglas Elton Thomas Ulman', 'Douglas Fairbanks sr', 'Douglas Fairbanks Film Corporation', 'Douglas Fairbanks Sr', 'Douglas Fairbanks, Sr.', 'Douglas Fairbanks Sr.', 'Douglas Fairbanks (1883-1939)']"
In which war was Shakespeare’s Troilus and Cressida set?,"['Trojans', 'Trojan', 'TROJAN', 'Trojan (disambiguation)']"
Cars from which country have the registration 'EAK'?,"['Kenyan', 'Prehistory of Kenya', 'Kenya-Africa', 'ISO 3166-1:KE', 'KENYA', 'Jamhuri ya Kenya', 'Kenya', 'Republic of Kenya', 'Kenya (disambiguation)', 'Etymology of Kenya']"
Give a year in the life of John Constable?,['1776- 1837']
Which General led the Allied forces which recaptured the South West Pacific between 1942-45?,"['MacArthur Memorial', 'Old soldiers never die; they just fade away', 'Doughlas mcarthur', 'Douglas Macarthur', 'Gen. MacArthur', 'General McArthur', 'Gen. Douglas MacArthur', 'General MacArthur', 'Bataan Gang', 'General Douglas MacArthur', 'DOUGLAS MACARTHUR', 'General macarthur', 'Douglas macarthur', 'Douglar MacArthur', 'Douglas MacAuthur', 'Gen. Douglas McArthur', 'Douglas McArthur', 'General of the Army Douglas MacArthur', 'General Douglas Macarthur', 'Gaijin Shogun', 'Doug MacArthur', 'Big Daddy Mac', 'Douglas McAuthur', 'MacArthur, Douglas', 'Douglas mcarthur', 'Douglas B. MacArthur', 'Douglass MacArthur', 'Douglass macarthur', 'Douglas MacArthur', 'Douglas MacAurthur', 'MacArthur (WW2 general)']"
What colour is the triangular segment on Cuba's national flag?,"['Red (comics)', 'Red (song)', 'Red (comic)', 'Red (album)', 'Red (film)', 'R.E.D.', 'Red (disambiguation)', 'RED']"
